"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.548947849954254","0.556844547563805","0.533570475767008","0.477516912057302","0.437550591787175","0.418398193312708","0.444303703392541","0.438174326067126","0.434712306276276","0.435108327589824","0.425777821391383","0.421318232396316","0.43133635892444","0.449521757472763","0.427988230884726","0.506252444825802","0.498384330897067","0.512418426798229","","","",
"Andorra","AND","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4719400285995","37.7654435078259","30.2716744732668","31.7509905365424","29.2497367788414","30.6228536688586","25.3947405330476","30.2056024682127","27.0915400061362","24.507440419353","24.6032470715393","23.9671622675689","",
"Angola","AGO","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","13.5487072818701","14.3884051598419","12.8572271281698","15.9170051288085","19.1493044549013","17.9380112938455","24.0260371468552","10.1380745224135","11.5577360142585","6.64301838116736","7.31225296442688","7.02686916586973","9.00201794169947","13.0337582807876","6.29025682837342","5.66468956353548","8.15637702246655","9.35878915521681","9.51973753873715","9.18146210759392","8.48999827293692","7.66451861090872","7.86026831861018","6.64221195016469","10.2020897777889","9.84218449994439","9.28970241402489","7.18918563514196","10.061009598118","",
"Albania","ALB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","33.6002061629567","32.4002988390487","31.6997104690522","34.1000974784758","33.0999410472445","34.6000120880036","34.0000003795285","33.2000247238173","31.4998818203198","32.300197699803","35.9007899107974","39.2952951590215","51.6418702727331","54.6409764928012","53.6209806102615","55.8121447107506","33.0256098817634","33.6221470444196","32.6027193646754","29.5091852396636","29.1305832016071","26.953937616503","26.31162201815","23.9962071283683","23.499998936913","22.7999538580635","21.9999553862566","20.6506307256943","19.4205036305244","19.4097571620819","20.6581994180893","20.9581468295611","21.8259910124359","22.2370329846217","",
"Arab World","ARB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","7.96189875053921","7.66519166006653","7.4635657481768","7.47391045322904","6.52892728469275","6.84844548613908","6.8038667056168","7.07816616740062","7.1393876425382","7.31682121961261","8.49853507125837","9.50275158352497","9.84441898357939","10.270546323784","10.150334979756","10.3304033561486","10.228880678047","10.0649721510818","10.0624953160041","9.64097541566419","9.25075880756953","9.790572732589","9.2162143011677","10.01057152939","9.42433380950554","8.40337938092767","8.7741000692266","8.45231559404181","8.18297744429355","7.4074884960248","6.59282106515958","6.42182035624156","5.96328323628787","5.21505143372293","6.07909334969283","5.24002231391639","5.13170120720158","5.23292648351267","5.49079146293688","",
"United Arab Emirates","ARE","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","0.540188294205409","0.545088280601967","0.485156877691024","0.629067480796601","0.54722317809093","0.490602457342951","0.548306764658785","0.640366457885388","0.730600581680254","0.842471510389179","0.925826534993559","1.18452414390845","1.14322934213777","1.19773519163763","1.19302579195627","1.0584284754869","1.29776800811633","1.37862107758448","1.48090107737512","1.83042501688033","1.78706830470903","1.79243187203791","2.00402186456958","2.18089049130306","2.33324519711343","2.26265009303746","2.23820016235649","2.20332258864369","1.92768393253654","1.66536190905993","1.39541334748446","1.09429632063397","0.976671167666283","0.82730541146641","1.03688652670399","0.855960309029087","0.733057737896985","0.69354497803372","0.65951810849259","",
"Argentina","ARG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","12.9041629859074","10.2785862888398","9.9803863210813","9.72127698841584","9.18589272711774","9.63756096415116","10.8659477491418","10.9848698708589","11.9525477984138","10.230837748201","6.58391049185771","8.15217071224607","8.08714211406449","7.50442747786519","7.79627735903211","6.35350500480665","6.47552296064522","9.59615604621897","8.65832496118367","8.3459768371011","7.63430725730443","7.80040264019792","8.09435846444628","8.97786821775225","9.61606509643166","8.12367620787489","6.71649176923611","5.99078709966958","5.49202480653663","4.66241240440197","4.90906307498197","5.08252072253451","4.81158207976819","4.8050173024178","4.10407446942088","4.31008155530889","4.28804987811183","9.30463693432854","9.75127265128375","9.00967344804729","8.44257099626942","7.69751670690949","8.78110682159452","7.2278862209118","6.23480530673769","8.17798644532434","7.78921139965194","6.90945361795394","6.97909710679212","",
"Armenia","ARM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3762697212016","24.9734607218684","31.0427206295672","51.3655909174216","44.8709973040704","42.2553129522207","36.825962722325","31.9686774327641","33.9957279656846","29.4640212814989","25.5478701562349","28.3281547063999","25.9618988244082","23.6820980482327","24.662200003318","20.892517379789","20.4510979086758","20.2820602192449","18.3981208906774","18.9138922965675","19.1530515742164","22.8154155645177","21.5650911081498","21.9375600348541","",
"American Samoa","ASM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
